"","Imaged","Individual","OLRE","Sp.sum","Stb.sum","Scac","Age","Phenotype","Caste","Phenotype.2","Nest.phenotype","Gen","Seg.ID","Seg","Side","Ind.Side.Seg","Ind.Side.Seg.1","TSB","Region","Population","Latitude","Longitude","Year","Month","Bare.area","Area..uM.2.","Length","LQ","Method","SegF"
"46","Sep-20","N381-LB",54,27,77,35,"Old","B1-F-Sol","Rep","Sol-B1","Solitary","B1","N381-LB.9",9,"L","N381-LBL9","N381-LBL9","T","Scotland-SE","Migdale-Knepp",55.413044,-1.729639,2020,8,0,38818.81,195.85,"N","W","9"
"47","Sep-20","N389-RR",39,28,106,13,"Old","Old-F-Sol","Rep","Sol-F","Solitary","F","N389-RR.10",10,"L","N389-RRL10","N389-RRL10","T/S","Scotland-SE","Migdale-Knepp",55.413044,-1.729639,2020,8,0,42692.56,252.24,"N","W","10"
"48","Sep-20","N389-RR",40,33,108,28,"Old","Old-F-Sol","Rep","Sol-F","Solitary","F","N389-RR.9",9,"L","N389-RRL9","N389-RRL9","T/S","Scotland-SE","Migdale-Knepp",55.413044,-1.729639,2020,8,0,39173.98,183.44,"N","W","9"
"49","Sep-20","N398-W",65,27,96,18,"Old","B1-F-Sol","Rep","Sol-B1","Solitary","B1","N398-W.10",10,"L","N398-WL10","N398-WL10","T/S","Scotland-SE","Migdale-Knepp",55.413044,-1.729639,2020,8,0,43862.06,268.74,"N","W","10"
"50","Sep-20","N398-W",66,25,90,36,"Old","B1-F-Sol","Rep","Sol-B1","Solitary","B1","N398-W.9",9,"L","N398-WL9","N398-WL9","T/S","Scotland-SE","Migdale-Knepp",55.413044,-1.729639,2020,8,0,38465.85,188.18,"N","W","9"
"51","Sep-20","NC-RR",33,45,106,23,"Old","Old-F-Sol","Rep","Sol-F","Solitary","F","NC-RR-10",10,"L","NC-RRL10","NC-RRL10","T","Scotland-SE","Migdale-Knepp",55.413044,-1.729639,2020,8,0,46079.07,263.23,"N","W","10"
"52","Sep-20","NC-RR",34,22,87,32,"Old","Old-F-Sol","Rep","Sol-F","Solitary","F","NC-RR-9",9,"L","NC-RRL9","NC-RRL9","T","Scotland-SE","Migdale-Knepp",55.413044,-1.729639,2020,8,0,39853.78,200.93,"N","W","9"
"53","Sep-20","EXCB3-236-WBr",9,34,106,0,"Old","UN-W","Work","Worker","Unknown","B1","EXCB3-236-WBr.10",10,"R","EXCB3-236-WBrR10","EXCB3-236-WBrR10","T/S","Scotland-SE","Migdale-Knepp",55.413044,-1.729639,2020,8,0,41022.6,259.24,"N","W","10"
"54","Sep-20","EXCB3-236-WBr",10,31,87,31,"Old","UN-W","Work","Worker","Unknown","B1","EXCB3-236-WBr.9",9,"R","EXCB3-236-WBrR9","EXCB3-236-WBrR9","T/S","Scotland-SE","Migdale-Knepp",55.413044,-1.729639,2020,8,0,40512.38,187.3,"N","W","9"
"56","Sep-20","N346-LBLBLB",67,34,85,25,"Old","B1-F-Sol","Rep","Future-rep","Future-rep","B1","N346-LBLBLB.10",10,"L","N346-LBLBLBL10","N346-LBLBLBL10","T","Scotland-SE","Migdale-Knepp",55.413044,-1.729639,2020,8,0,40423.6,231.17,"N","W","10"
"57","Sep-20","N346-LBLBLB",68,34,101,33,"Old","B1-F-Sol","Rep","Future-rep","Future-rep","B1","N346-LBLBLB.9",9,"L","N346-LBLBLBL9","N346-LBLBLBL9","T","Scotland-SE","Migdale-Knepp",55.413044,-1.729639,2020,8,0,38767.32,185.91,"N","W","9"
